seeding method,2tran vil1_182,2tran vil2_195,2tran vil3_292,2tran vil4_239,2tran vil6_114,2tran vil9_207,2tran vil12_175,2tran vil15_171,2tran vil19_204,2tran vil20_156,2tran vil21_202,2tran vil23_254,2tran vil24_163,2tran vil25_252,2tran vil29_290,2tran vil31_153,2tran vil32_241,2tran vil33_204,2tran vil36_289,2tran vil39_287,2tran vil42_192,2tran vil43_198,2tran vil45_221,2tran vil46_262,2tran vil47_139,2tran vil48_182,2tran vil50_244,2tran vil51_251,2tran vil52_327,2tran vil55_257,2tran vil57_208,2tran vil59_329,2tran vil60_356,2tran vil62_190,2tran vil64_257,2tran vil65_297,2tran vil67_193,2tran vil68_153,2tran vil70_205,2tran vil71_298,2tran vil72_223,2tran vil73_174,2tran vil75_172
random,0.005835582464074695,0.00782831691186395,0.0034240901308886067,0.0037146394894751883,0.00707868227606861,0.003727694940112442,0.008705882352941176,0.004686318972033257,0.003193464537690308,0.0094948727687049,0.0038319716578700015,0.002463559843974543,0.005747126436781609,0.003827460510328068,0.004219727224775827,0.007684194666264878,0.003189792663476874,0.00362400906002265,0.0073177906891226,0.005122405534858967,0.005335762623633524,0.004244817374136229,0.008522412838959601,0.008096865250334274,0.003984530645728348,0.0035921299697934525,0.006349360217138425,0.012968926799547394,0.009907978667782077,0.010273199367803116,0.0020233812949640288,0.011070322358609613,0.0055276665350555585,0.006273398765557017,0.0068320074871314924,0.011123617824273324,0.009408790900154472,0.003991811668372569,0.013015453268324931,0.0076631889945526725,0.006693301509884294,0.006260564702936205,0.006735010132316128
random,0.0034284046976438835,0.006748549061951681,0.004583862594576683,0.0032384036574911895,0.00789545330792268,0.009410901979956001,0.007058823529411765,0.0071050642479213895,0.008540660972892685,0.0066464109380934295,0.007085532499457739,0.00506398412372545,0.004067197170645446,0.004556500607533414,0.005199306759098787,0.009341569986439657,0.008931419457735247,0.008946772366930917,0.004670147826726484,0.007118147951037785,0.009109838625715773,0.00562685093780849,0.005534034311012728,0.00735403357599168,0.006328372202039142,0.007184259939586905,0.01226250484683986,0.007717526909797778,0.005202342361183729,0.010386091668548205,0.004421462829736211,0.007227257083859126,0.0032150713520221106,0.0043509055954669635,0.004211511464670099,0.008541349400781302,0.0058980480269625055,0.006448311156601843,0.0076853152632013885,0.005955128796971656,0.0041508846572925855,0.00550929693858386,0.014662057456192633
random,0.008607484134510176,0.0020245647185855044,0.0033688628707129837,0.0028574149919039908,0.00952899537163082,0.005560987533610364,0.004352941176470588,0.005971277399848827,0.006164129223913851,0.0072161033042157235,0.0033981635456583033,0.003421610894409088,0.007515473032714412,0.005710814094775213,0.010172556702584584,0.005273466927828838,0.003987240829346092,0.009060022650056626,0.006324924615724057,0.00552155401809473,0.004685059864653826,0.008588351431391906,0.0069728832318760375,0.004456990046055564,0.005742411812961444,0.005306555637194873,0.011244668476153548,0.010734905851974352,0.005882045383247935,0.006773538044705351,0.004121702637889689,0.004703453022828955,0.004343166563257939,0.005969847212384903,0.005615348619560131,0.006952261140170827,0.012147170341244207,0.006345957011258956,0.007891909759524007,0.011310128335333763,0.003268821667617911,0.004945846115319602,0.01025151984741924
random,0.005179079436866292,0.002834390606019706,0.003865908212293588,0.004095628155062387,0.006261911244214539,0.0066609630897091175,0.00611764705882353,0.0040060468631897194,0.005792796138135908,0.005507026205848841,0.005567204106716795,0.007048518442482721,0.005305039787798408,0.00425273390036452,0.004973249943485796,0.00828687660087389,0.003987240829346092,0.009399773499433748,0.005920423622857983,0.005854177754124534,0.012623633524206142,0.008687068114511353,0.003763143331488655,0.005125538552963898,0.00726590882456346,0.005388194954690179,0.009305932531989143,0.01003858763454899,0.006195754470354491,0.008128245653646421,0.00974220623501199,0.005162326488470804,0.004455976084381522,0.009916017403622381,0.004117922321010763,0.004965900814407734,0.006810841173992417,0.0041965199590583415,0.006280472688207586,0.010248361185486105,0.006797073626316609,0.005697113879671947,0.006496602694004053
random,0.0029177912320373475,0.0022945066810635714,0.0032031810901861158,0.005524335651014382,0.008984481350394773,0.005927646052309949,0.0025882352941176473,0.0047619047619047615,0.005569996286669142,0.007785795670338018,0.004771889234328681,0.006158899609936358,0.007869142351900973,0.0020656136087484813,0.0036169090498078516,0.007081512731655869,0.004359383306751728,0.009173272933182333,0.017503861145840995,0.004590207557211282,0.005986465382613222,0.007403751233958539,0.004869950193691201,0.0061655028970435295,0.008672213758349935,0.010204914686913218,0.008336564559906941,0.006644036324600342,0.005882045383247935,0.006886430345450441,0.008093525179856115,0.009578983595273604,0.002989452309774945,0.007285237276130729,0.008610201216658868,0.006058398993577435,0.01081308804943126,0.0054247697031729785,0.009379390133046856,0.0056781460622287875,0.005136719763399574,0.005884930820760033,0.012337584932649899
random,0.007732146764898971,0.010527736536644622,0.00513613519633291,0.0039051338222687876,0.0032670841274162815,0.005927646052309949,0.0027058823529411765,0.005820105820105819,0.003267731154845897,0.01139384732244588,0.004844190586363964,0.006637925135153631,0.004067197170645446,0.0027339003645200487,0.005500715846582774,0.009793581437396413,0.003083466241360978,0.0035107587768969423,0.004339192468926969,0.005654603512506652,0.007808433107756377,0.005330700888450148,0.010625345877144438,0.0072054672411231615,0.005742411812961444,0.00824557106702588,0.011196200077549437,0.011779383178112397,0.005542193872215832,0.00553172273650937,0.009892086330935251,0.00797292646552713,0.003666309436516442,0.002529596276434281,0.0024333177351427236,0.009799377607097927,0.012498244628563405,0.003172978505629478,0.00677629947938187,0.006185947742590712,0.005863124578425777,0.012458523758843048,0.008999880796280843
random,0.00868042891531111,0.00823322985558105,0.0022090904070249076,0.0016192018287455947,0.011162537435338961,0.0029332681495966755,0.002235294117647059,0.006651549508692365,0.007575194949870034,0.004367641473604254,0.0037596703058347188,0.006364196263600903,0.004155614500442086,0.0034629404617253948,0.004973249943485796,0.006026819346090101,0.004518872939925572,0.008720271800679502,0.011509891887916452,0.004723257051623203,0.007808433107756377,0.003060217176702863,0.011842833425567238,0.007799732580597236,0.011133247392476269,0.00938852151196016,0.010614579294300116,0.017204862622218355,0.00786886960158946,0.011402122375254007,0.0018735011990407674,0.00493288975564988,0.006035309380111682,0.005969847212384903,0.005708937763219467,0.006058398993577435,0.00863642746805224,0.01023541453428864,0.00793322865878853,0.005539654694857354,0.006745187568100452,0.006636198585112377,0.009059482655858863
random,0.003793128601648552,0.005668781212039412,0.004197271773347324,0.004667111153443185,0.005989654233596516,0.005988755805426546,0.00411764705882353,0.0028722600151171577,0.006386929075380616,0.008355488036460312,0.005133395994505097,0.005885170738383631,0.007957559681697613,0.0032199270959902796,0.003918318137291839,0.007382853698960374,0.005528973950026581,0.0056625141562853904,0.00672942560859013,0.0061202767429483764,0.010931806350858927,0.008588351431391906,0.003541781959048146,0.007131184073688902,0.008320637524903316,0.008490489019511797,0.013910430399379604,0.004613108190443032,0.007764299905887274,0.006321968841724994,0.0026229016786570745,0.008030285648732363,0.0055276665350555585,0.005463927957098047,0.008235844642021525,0.004436204727537575,0.008144923465805365,0.003991811668372569,0.008263779852904718,0.004524051334133506,0.0059150106366419345,0.010580354347962187,0.007748241745142448
random,0.0032825151360420164,0.006613578080712648,0.004031589992820456,0.001238213163158396,0.004083855159270352,0.006905402102175507,0.004941176470588235,0.0027966742252456536,0.006535462309691794,0.0037979491074819596,0.0042657797700817,0.0027372887155272703,0.0022104332449160036,0.002976913730255164,0.0030894431467108734,0.006629501280699111,0.006166932482721956,0.003737259343148358,0.007538427594322277,0.005721128259712612,0.009630400832899531,0.0068114511352418555,0.004427227448810182,0.008468281087505572,0.011484823625922888,0.010694750591885053,0.010663047692904227,0.006324890474947051,0.00627418174213113,0.007563784149920975,0.00427158273381295,0.006538946885396352,0.006655761746291387,0.005160376403925933,0.004117922321010763,0.006687413096735748,0.008425782895660722,0.004503582395087001,0.006239153788943063,0.004477887545009694,0.008301769314585171,0.0060101421148187565,0.006496602694004053
random,0.009336931942519514,0.005533810230800379,0.005246589716684155,0.004571863987046385,0.004083855159270352,0.005133219261794182,0.006705882352941176,0.005064247921390778,0.0054957296695135535,0.0024686669198632737,0.006796327091316607,0.002805720933415452,0.0038903625110521664,0.005103280680437424,0.005199306759098787,0.010697604339309929,0.005263157894736842,0.005775764439411099,0.006067514892991101,0.0031266631186801486,0.00338365434669443,0.009575518262586378,0.007083563918096292,0.0063883523993463085,0.01066447908121411,0.004735080414727733,0.007948817371074059,0.012881887022369223,0.004601066610896163,0.003725445924587943,0.009442446043165468,0.007341975450269588,0.005640476056179141,0.0043509055954669635,0.003837154890032756,0.005727338939283586,0.005617188597107148,0.0077789150460593655,0.011651929592595653,0.011079309389714707,0.006900845742748923,0.005571902585613222,0.011205149600667541
