,random_BA_seeding method,random_BA_7th_graders_num_nodes:29,random_BA_aves-weaver-social_num_nodes:445,random_BA_bt.csv_num_nodes:692,random_BA_contacts-prox-high-school-2013_num_nodes:327,random_BA_contacts-prox-high-school-2013-attr_num_nodes:327,random_BA_email_company_num_nodes:167,random_BA_fb-messages_num_nodes:1899,random_BA_fb_friends.csv_num_nodes:800,random_BA_high_tech_company_num_nodes:21,random_BA_inf-euroroad_num_nodes:1174,random_BA_infect-dublin_num_nodes:410,random_BA_infect-hyper_num_nodes:113,random_BA_Karate_num_nodes:34,random_BA_kidnappings_num_nodes:351,random_BA_KKI_num_nodes:2238,random_BA_law_firm_num_nodes:71,random_BA_moreno_taro_num_nodes:22,random_BA_physician_trust_num_nodes:241,random_BA_primary-school-proximity_num_nodes:242,random_BA_soc-firm-hi-tech_num_nodes:33,random_BA_swingers_num_nodes:96,random_BA_uni_email_num_nodes:1133,random_BA_webkb-wisc_num_nodes:265,random_poisson_seeding method,random_poisson_7th_graders_num_nodes:29,random_poisson_aves-weaver-social_num_nodes:444,random_poisson_bt.csv_num_nodes:692,random_poisson_contacts-prox-high-school-2013_num_nodes:327,random_poisson_contacts-prox-high-school-2013-attr_num_nodes:327,random_poisson_email_company_num_nodes:167,random_poisson_fb-messages_num_nodes:1899,random_poisson_fb_friends.csv_num_nodes:800,random_poisson_high_tech_company_num_nodes:21,random_poisson_inf-euroroad_num_nodes:1020,random_poisson_infect-dublin_num_nodes:410,random_poisson_infect-hyper_num_nodes:113,random_poisson_Karate_num_nodes:34,random_poisson_kidnappings_num_nodes:315,random_poisson_KKI_num_nodes:2169,random_poisson_kor.2015.mers.1.00_num_nodes:147,random_poisson_law_firm_num_nodes:71,random_poisson_moreno_taro_num_nodes:22,random_poisson_physician_trust_num_nodes:241,random_poisson_primary-school-proximity_num_nodes:242,random_poisson_sgp.2003.sars.1.00_num_nodes:143,random_poisson_soc-firm-hi-tech_num_nodes:33,random_poisson_soc-hamsterster_num_nodes:2426,random_poisson_swingers_num_nodes:95,random_poisson_uni_email_num_nodes:1133,random_poisson_usa.2009.flu.1.00_num_nodes:233,random_poisson_usa.2020.covid.6.00_num_nodes:78,random_poisson_webkb-wisc_num_nodes:259
0,random,0.0,0.0005024669866178461,0.0010317401605571181,0.0015599699705780663,0.000713417753178551,0.00018811136192626034,0.0009664273050021155,0.0009357366117697286,0.0,0.0006802906020104049,0.0006021089323635666,0.001390804329024567,0.0,0.00044895942790661,0.0006766755966494725,0.0,0.0,0.0017629164770413663,0.0010674407823014528,0.0,0.0004810170073870469,0.0006336520553265328,0.00046372484151355263,random,0.0,0.0,0.0007581681689047982,0.0002241660778246144,0.00025827830705879486,0.00044498381877022656,1.9186934465106642e-05,4.820856955532415e-05,0.0,0.0,5.4751019737742614e-05,0.0010527826960807772,0.0,0.0,0.0,0.0,0.000514478906364839,0.0,0.0,0.0004127426839163836,0.0,0.0,1.3079304181017571e-05,0.0,1.9251872244575784e-05,0.0,0.0,0.0
1,random,0.0,0.0009299274771373694,0.0007600974763612048,0.0013229745327402447,0.0011578913269645543,0.0009704836172104795,0.0009258689561491829,0.0007607128248598557,0.0,0.0008649504328365355,0.0012625016333556128,0.00018699890138145438,0.0,0.000497234635208396,0.0007142780260235899,0.0009262526464361327,0.0,0.0006563031449855086,0.0003739200846878462,0.0,0.0004810170073870469,0.000707492845533382,0.0009519554673347321,random,0.0,0.00011917530687641521,0.0007548681986375303,0.00019005384859043396,0.00020467337540508272,0.0007362459546925566,3.0699095144170624e-05,5.785028346638898e-05,0.0,0.0,0.0003285061184264557,0.0008254773412451548,0.0,0.0,0.0,0.0,0.0004409819197412906,0.0,0.00013743815283122595,0.0005620325908648627,0.0,0.0,1.7439072241356764e-05,0.0,0.0,0.0,0.0,0.0
2,random,0.0,0.0007014638130011515,0.0010353824070928124,0.001348474041874694,0.00059438923680874,0.00030354333401737466,0.0005050941420639871,0.0005306648373829996,0.0,0.0004756076751559575,0.00030081945098570074,0.0001753114700451135,0.0,0.00040229339418155016,0.0009279645649301934,0.0,0.0,0.00045989125488035644,0.000382762789393302,0.0,3.435835767050335e-05,0.0005448393756712624,0.00027144868771525034,random,0.0,0.0,0.0007159285494837691,0.0002631514826636778,0.00027289783387344363,0.0006796116504854369,1.1512160679063985e-05,5.785028346638898e-05,0.0,0.0,5.4751019737742614e-05,0.0006579891850504857,0.0,0.0,0.0,0.0,0.0,0.0,0.00013743815283122595,0.0007886019790572606,0.0,0.0,2.1798840301695953e-05,0.0,5.775561673372735e-05,0.0,0.0,0.0
3,random,0.0,0.0006547760960419913,0.0013892217360807488,0.0007829849275401449,0.00032695174749682276,0.0003591216909501334,0.0007353099645288525,0.0006413636427789875,0.0,0.0006873449258528193,0.00033278151765293146,0.0004558098221172951,0.0,0.0004135576092186336,0.0005504862400125923,0.00035285815102328866,0.0,0.0008024144290881219,0.0007124693505538691,0.0,0.0009276756571035905,0.0010648756370189537,0.0013138870509550658,random,0.0,0.0,0.0007922678616665664,0.00020467337540508272,0.0004190931020199313,0.0002022653721682848,1.1512160679063985e-05,6.749199737745381e-05,0.0,0.0,5.4751019737742614e-05,0.0001674881561946691,0.0,0.0,0.0,0.0,0.0011392032926650008,0.0,0.00013743815283122595,0.0004531387763847956,0.0,0.0,1.3079304181017571e-05,0.0,0.0,0.0,0.0,0.0
4,random,0.0,0.000652862665019075,0.001052117053337895,0.0008167342778651511,0.00039851952632677243,0.0009662083589848827,0.0007625796390922574,0.0005408761842967306,0.0,0.0007815674647358008,0.0006392413333446141,7.01245880180454e-05,0.0,0.0006074630252141408,0.0006219361488705243,8.821453775582216e-05,0.0,0.000316175237730245,0.0007718417964333582,0.0,0.0,0.0010991546307402597,0.0011008752335118486,random,0.0,0.0,0.0007451882858535444,0.00018518067298555103,0.00019492702419531688,0.000744336569579288,2.302432135812797e-05,2.892514173319449e-05,0.0,0.0,0.0,0.0008374407809733454,0.0,0.0,0.0,0.0,0.0006614728796119359,0.0,0.0,0.0004531387763847956,0.0,0.0,4.359768060339191e-06,0.0,3.850374448915157e-05,0.0,0.0,0.0
5,random,0.0,0.0006302841789486615,0.0010328229906082704,0.0002999942251111666,0.000672737121001527,0.0002992680757917778,0.0009987922995798332,0.0009258504669870081,0.0,0.000654912241845621,0.0007708498431508582,0.0009817442322526354,0.0,0.00030976591351979365,0.001107725785424908,0.0,0.0,0.0006251646746029845,0.0007731050399627091,0.0,0.0,0.0006231575188935414,0.0006805067796194817,random,0.0,0.00011917530687641521,0.0008472123666165768,0.0001803074973806681,0.00027289783387344363,0.000784789644012945,3.0699095144170624e-05,4.820856955532415e-05,0.0,0.0,5.4751019737742614e-05,0.00022730535483562233,0.0,0.0,0.0,0.0,0.0004409819197412906,0.0,0.0,0.00048650946146739683,0.0,0.0,8.719536120678382e-06,0.0,0.0,0.0,0.0,0.0
6,random,0.0,0.0004221028836553574,0.001061665645607148,0.0005422395618884337,0.0009559948561600648,0.0012654764347766606,0.000708418827913725,0.0009973298953831248,0.0,0.000533010084715117,0.0008874173804078172,0.0005493092728080223,0.0,0.0007740124904053026,0.000765636150766992,0.0009262526464361327,0.0,0.0011832618745359171,0.00018948652940262476,0.0,0.0004123002920460402,0.0012762825063824194,0.00026767856705253853,random,0.0,0.0,0.0007068536312487824,0.0002826441850832095,0.00020954655100996564,0.0005258899676375405,1.1512160679063985e-05,9.641713911064832e-06,0.0,0.0,0.00010950203947548523,0.0006220988658659138,0.0,0.0,0.0,0.0,0.0005512273996766133,0.0,0.0,0.0006814645164236461,0.0,0.0,1.3079304181017571e-05,0.0,0.0,0.0,0.0,0.0
7,random,0.0,0.0004159799043820249,0.0007205741794941422,0.0008504836281901573,0.0003427719933434432,0.00037194746562692387,0.0007549989186017548,0.0006479977662516025,0.0,0.00043055033232102354,0.0008968179882511203,0.0002688109207358407,0.0,0.0009164243519455713,0.0007068864414136575,0.0003087508821453776,0.0,0.0008814582385206831,0.0008008963976084274,0.0,0.0,0.0005775548492919422,0.0009368749846838849,random,0.0,0.0,0.0007169735400684039,0.0001998001998001998,0.00015106844375137058,0.0006796116504854369,1.1512160679063985e-05,4.820856955532415e-05,0.0,0.0,0.00010950203947548523,0.0006340623055941044,0.0,0.0,0.0,0.0,0.0007349698662354843,0.0,0.0,0.0006059413870261802,0.0,0.0,8.719536120678382e-06,0.0,0.0,0.0,0.0,0.0
8,random,0.0,0.0006505665477915753,0.0011031577243853967,0.0009562315925418436,0.0007940256724922838,0.00037194746562692387,0.0007030346236757267,0.0005337217374144986,0.0,0.0006727201081307405,0.0004822511823614515,0.0014843037797152943,0.0,0.0009976876175702444,0.0008268113211191207,0.0,0.0,0.0005149823947878991,0.0009752240046588421,0.0,0.0005497337227280536,0.0009519942236934368,0.00039209254892202825,random,0.0,0.0,0.0007556381916998928,0.00020954655100996564,0.0001803074973806681,0.0005825242718446602,2.6861708251149297e-05,5.785028346638898e-05,0.0,0.0,5.4751019737742614e-05,0.00015552471646647844,0.0,0.0,0.0,0.0,0.0004409819197412906,0.0,0.0002748763056624519,0.0006498501831874976,0.0,0.0,2.1798840301695953e-05,0.0,1.9251872244575784e-05,0.0,0.0,0.0
9,random,0.0,0.000674675778680322,0.0010973498177473974,0.00032999364762228327,0.0005054945220515394,0.0003591216909501334,0.0009018666617709092,0.000965525126970294,0.0,0.000689000971388996,0.0004902416990282592,0.00043243495944461326,0.0,0.0004360860392928004,0.0007392861168352907,0.0005733944954128441,0.0,0.001417998035881099,0.0008779542528988281,0.0,0.00037794193437553687,0.0007372234171437752,0.0021508538380770876,random,0.0,0.0,0.0006667589925014775,0.0002826441850832095,0.0001559416193562535,0.0007119741100323624,3.0699095144170624e-05,4.820856955532415e-05,0.0,0.0,0.00010950203947548523,0.0003230128726611475,0.0,0.0,6.962818548948615e-05,0.0,0.0014331912391591945,0.0,0.0,0.0008342671270650307,0.0,0.0,8.719536120678382e-06,0.0,0.0,0.0,0.0,0.0
