,seeding method,7th_graders_num_nodes:29,bt.csv_num_nodes:692,email_company_num_nodes:167,fb_friends.csv_num_nodes:800,high_tech_company_num_nodes:21,kidnappings_num_nodes:351,law_firm_num_nodes:71,moreno_taro_num_nodes:22,physician_trust_num_nodes:241,swingers_num_nodes:96,uni_email_num_nodes:1133
0,random,0.0,0.001008595164487221,0.0005422666747002471,0.0002492963723797845,0.0,0.00030892652077571287,0.0006456373362848183,0.0,0.00036630213178201167,0.0006364472102397286,0.0006332302957480844
1,random,0.0,0.0011295242936243842,0.00018505926200087795,0.0006792837969074232,0.0,0.0005620521778511007,0.0,0.0,0.0003205143653092602,0.00010607453503995475,0.0005866065970403654
2,random,0.0,0.0007892605097691458,0.000882259272329767,0.0008547025236864099,0.0,0.0006550536173516425,0.0005995203836930455,0.0,0.0005277642556596089,0.0,0.0006603761751479592
3,random,0.0,0.0012596005630704176,0.0006326444538169548,0.0006839703083464165,0.0,0.0010569815776278971,0.00041505257332595465,0.0,0.0018098217168966498,0.0,0.00043109171165538033
4,random,0.0,0.0007360005476481423,0.0009554222363766257,0.0010726253055996,0.0,0.000398693127597975,0.0009684560044272275,0.0,0.001065168041102955,0.00035358178346651584,0.0005001042524836587
5,random,0.0,0.0007449509752621983,0.00031847407879220856,0.0004459345815075466,0.0,0.00033642259854109046,0.00032281866814240913,0.0,0.0005856014343620318,0.0,0.0011288378463259225
6,random,0.0,0.0007399839797181344,0.0006541629726542663,0.0008891353646756804,0.0,0.001310107234703285,0.0,0.0,0.0012700080490073693,0.0008839544586662896,0.0005149433687728666
7,random,0.0,0.001515720491718789,0.0011232666833076545,0.0008351103022539516,0.0,0.0008232649166221877,0.0,0.0,0.0011157755724675751,0.00017679089173325792,0.0007326784084231273
8,random,0.0,0.0013523505986754154,0.0008693481610273802,0.0005315285057058277,0.0,0.00030083943908001357,0.00032281866814240913,0.0,0.0008024908544961176,7.071635669330317e-05,0.0006294435994063407
9,random,0.0,0.0010311187680434718,0.00021088148460565162,0.0007749667387868705,0.0,0.00030003073091044367,0.0005534034311012728,0.0,0.0006169299061591775,0.0002475072484265611,0.0004681066683959247
10,friend,0.0,0.002610721707403243,0.0015278148374491087,0.0015888575586920468,0.0,0.0008685525741181037,0.000691754288876591,0.0,0.0005735520221323604,0.003606534191358462,0.0009749323068861783
11,friend,0.0,0.0018211661285918754,0.0009640296439115503,0.0017032865463274675,0.0,0.0017055655296229803,0.00036893562073418186,0.0,0.0009663628608196492,0.00035358178346651584,0.0012899381088149794
12,friend,0.0,0.0016051755896856453,0.00036151111646683137,0.0008612115673516784,0.0,0.0021689553107865495,0.000691754288876591,0.0,0.000804900736942052,0.0,0.0011461146483851279
13,friend,0.0,0.0014758369928451658,0.0015579407638213446,0.0016304503477131125,0.0,0.0014314134601387744,0.0014296255303449547,0.0,0.0020941878455168956,0.0013436107771727602,0.0016916119232654387
14,friend,0.0,0.0009626135720743511,0.001811859286101619,0.0017547079912830887,0.0,0.0013068724020250052,0.0007378712414683637,0.0,0.002072498903503487,0.00035358178346651584,0.0015103001690523249
15,friend,0.0,0.0013112376454592022,0.0005164444520954734,0.0015946506075541357,0.0,0.001082860239054135,0.0010606899096107728,0.0,0.0005663223747945575,0.0016618343822926245,0.0013055345643725362
16,friend,0.0,0.0011042958905144351,0.0005896074161423321,0.001310465761128512,0.0,0.0008604654924224044,0.0011068068622025456,0.0,0.0012651882841155009,0.0,0.0020210071712928658
17,friend,0.0,0.001657304453811466,0.001424525947030014,0.0014498894764385637,0.0,0.0014621443705824316,0.00041505257332595465,0.0,0.0010507087464273492,0.0006718053885863801,0.0012121924995485548
18,friend,0.0,0.001422232783508237,0.0015579407638213446,0.0018831965132354894,0.0,0.0008394390800135863,0.0,0.0,0.001224220282534618,0.00010607453503995475,0.001542700089626369
19,friend,0.0,0.0017642669816168052,0.0014460444658673255,0.0015595017717616856,0.0,0.0007343070179694955,0.0007839881940601365,0.0,0.0013808626415203467,0.0002121490700799095,0.0015089511584805786
20,pair,0.0,0.0011940952356972166,0.0005207481558629356,0.0011066025135323017,0.0,0.0007100457728823977,0.00036893562073418186,0.0,0.0009494936836981092,0.0015557598472526698,0.0010189999855632203
21,pair,0.0,0.0008670603805682479,0.0021303333648938277,0.0013756863786545026,0.0,0.0009073705662574603,0.00041505257332595465,0.0,0.00025062777437716586,0.001980057987412489,0.0009293972833767108
22,pair,0.0,0.0014420515875107898,0.0008521333459575311,0.0010609741174387693,0.0,0.0005984440454817474,0.00032281866814240913,0.0,0.001417010878209361,0.0004950144968531222,0.000898038704296646
23,pair,0.0,0.000884567810406731,0.0008090963082829082,0.0006424426097620034,0.0,0.0012316625422550019,4.611695259177273e-05,0.0,0.0018266908940181897,0.0009546708153595928,0.0006186751816845071
24,pair,0.0,0.0015741933402523744,0.0005896074161423321,0.0010176889770647337,0.0,0.0009138402316140198,0.00032281866814240913,0.0,0.0012700080490073693,0.000424298140159819,0.00112337080348253
25,pair,0.0,0.0012023571688794222,0.0009382074213067766,0.000876377639091754,0.0,0.0007221763954259466,0.00036893562073418186,0.0,0.0008458687385229348,0.0004596563185064706,0.0012004064071848776
26,pair,0.0,0.0011989638748938734,0.0011361777946100413,0.0013545970771790326,0.0,0.0006291749559254047,0.0005995203836930455,0.0,0.0009663628608196492,0.0005303726751997738,0.0009015650652648948
27,pair,0.0,0.0013130080597125319,0.0007488444555384364,0.0010146948169787102,0.0,0.0009138402316140198,0.00018446781036709093,0.0,0.0008747873278741463,0.0004950144968531222,0.0010142902819881765
28,pair,0.0,0.001811527206545969,0.00036151111646683137,0.0006827335900500155,0.0,0.0004407459524156113,0.00032281866814240913,0.0,0.0012844673436829752,0.00010607453503995475,0.001272897975277133
29,pair,0.0,0.0013328268637150845,0.0006111259349796435,0.0010541396215902376,0.0,0.0002992220227408737,0.00036893562073418186,0.0,0.0003638922493360774,0.0017679089173325791,0.0009262969257469081
