,seeding method,7th_graders_num_nodes:29,aves-weaver-social_num_nodes:445,contacts-prox-high-school-2013_num_nodes:327,contacts-prox-high-school-2013-attr_num_nodes:327,email_company_num_nodes:167,fb-messages_num_nodes:1899,fb-pages-politician_num_nodes:5908,fb-pages-tvshow_num_nodes:3892,fb_friends.csv_num_nodes:800,high_tech_company_num_nodes:21,inf-euroroad_num_nodes:1174,infect-dublin_num_nodes:410,infect-hyper_num_nodes:113,Karate_num_nodes:34,KKI_num_nodes:2238,law_firm_num_nodes:71,moreno_taro_num_nodes:22,physician_trust_num_nodes:241,primary-school-proximity_num_nodes:242,soc-firm-hi-tech_num_nodes:33,soc-hamsterster_num_nodes:2426,uni_email_num_nodes:1133,webkb-wisc_num_nodes:265
0,random,0.0,0.0011503067484662577,0.0005627778715740897,0.00216453027528496,0.00266688648276464,0.0014962652900849603,0.0008269677695202322,0.0011891090272816878,0.0010166166285187717,0.0,0.0,0.0005103707333006697,0.0005480417294631148,0.0,0.0007840940912909549,0.0009470315459473582,0.0,0.001121355594318465,0.0012114972009174085,0.0,0.0003722409630177879,0.00022818026240730173,0.0
1,random,0.0,0.0,0.0005627778715740897,0.0012510984991147072,0.000717634908089394,0.0012647476722557225,0.0006568618210991143,0.0024528199517122266,0.0006599090395648168,0.0,0.00035298270384751147,0.0006124448799608035,0.0008318490536493707,0.0,0.0,0.0002285938214355692,0.0,0.00049838026414154,0.0010296184862758637,0.0,0.0005141849878261272,0.0003007830731732614,0.0003310527477378062
2,random,0.0,0.0013420245398773007,0.0009091027156196834,0.000982696744979372,0.001692260695427017,0.0008414011710822589,0.001418315813186889,0.0003006682521453697,0.0004696649921227074,0.0,0.0,0.0007961783439490446,0.000508895891644321,0.0,0.0014561747409689162,0.00042453138266605706,0.0,0.00024919013207077,0.000625786085970061,0.0,0.0007169621661237549,0.0003526422237203754,0.0004414036636504083
3,random,0.0,0.004026073619631902,0.0006407009614843483,0.0011342138642493193,0.0011103945537329137,0.0010358759700588188,0.0006878946630408048,0.001813052167072079,0.0005945126482565917,0.0,0.0,0.0015719418585660623,0.0005382552700084163,0.0,0.0013441612993559226,0.0013062504082032526,0.0,0.00024919013207077,0.0008153715258082813,0.0,0.0003809314135162577,0.0004978478452522947,0.00022070183182520416
4,random,0.0,0.0015337423312883436,0.0006103975376303588,0.000987025805529942,0.00034427080050234446,0.0013150200692700713,0.0009878788018104789,0.0023646540732635843,0.00037454296840165277,0.0,0.00035298270384751147,0.0008778376612771518,0.00028380732418625587,0.0,0.0002800336040324839,0.0005878126836914636,0.0,0.0,0.0007228908234481738,0.0,0.00089077117609315,0.00025929575273557015,0.00022070183182520416
5,random,0.0,0.00019171779141104295,0.0007186240513946068,0.0005714359926752296,0.0011443367453317364,0.0012052145705282041,0.0012763692954165641,0.0025861991011601726,0.00036265271543652094,0.0,0.0,0.0007349338559529642,0.000675265702374195,0.0,0.0011201344161299357,0.000522500163281301,0.0,0.0,0.0008523638067523243,0.0,0.0008646998245977408,0.00039412954415806665,0.0
6,random,0.0,0.0015337423312883436,0.001532487434901752,0.0014459062238903536,0.002080171456556419,0.0008361093398175905,0.0007850159646731322,0.0006262038033403565,0.0007431408103207395,0.0,0.0,0.001041156295933366,0.00029359378364095435,0.0,0.001232147857742929,0.0013389066684083338,0.0,0.000124595066035385,0.001132888603911317,0.0,0.000666267871549348,0.0002800394129544158,0.0
7,random,0.0,0.001246165644171779,0.0017619276440819578,0.0010692779559907705,0.0011249412072752664,0.0008837358211996052,0.0007499603469241856,0.000888440775136318,0.0005588418893611961,0.0,0.0,0.0018169198105503837,0.00021530210800336654,0.0,0.0008961075329039484,0.0008164065051270329,0.0,0.00074757039621231,0.001253113516979457,0.0,0.0003838282303490809,0.00010371830109422807,0.0006621054954756124
8,random,0.0,0.0035467791411042944,0.0020476456404195727,0.000493512902764971,0.0005770172571799857,0.0009049031462582784,0.0009344333517997899,0.001568900503675839,0.00033292708302369133,0.0,0.0,0.0009186673199412053,0.00016636981072987414,0.0,0.0006720806496779613,0.0,0.0,0.00024919013207077,0.0010234531061185232,0.0,0.00021870967087815553,0.00021780843229787892,0.0004414036636504083
9,random,0.0,0.0008627300613496933,0.000870141170664554,0.0008874574128668337,0.0007903681758011569,0.0008228797616559199,0.0004884799194525347,0.0009449573638854477,0.0004637198656401415,0.0,0.0,0.0011024007839294464,0.0005578281889178133,0.0,0.0024082889946793616,0.0015675004898439032,0.0,0.000124595066035385,0.0011590914695800143,0.0,0.0004924588615799529,0.00025929575273557015,0.00022070183182520416
10,friend,0.0,0.0026840490797546013,0.0005887522348775093,0.0009047736550691134,0.002759015288532873,0.006126617646669719,0.00469285532029341,0.003415862623997396,0.0024077762254391963,0.0,0.0,0.0017556753225543035,0.0020257971071225853,0.0,0.0010081209745169421,0.001665469270459147,0.0,0.00024919013207077,0.0018126217662581075,0.0,0.003424037496397084,0.0018461857594772595,0.0008828073273008167
11,friend,0.0,0.0010544478527607362,0.0010519617137884907,0.0014632224660926332,0.0040439696847740176,0.006227162440698416,0.0029693832280132315,0.0016819336811740983,0.0018013733242174727,0.0,0.0007059654076950229,0.0012453045892536338,0.0010569376211074356,0.0,0.0024082889946793616,0.0002285938214355692,0.0,0.000124595066035385,0.0011914597154060519,0.0,0.004117825127858253,0.0036716278587356735,0.0014345619068638269
12,friend,0.0,0.0010544478527607362,0.0017835729468348074,0.0019221028844530448,0.005605310498319862,0.007155878827647701,0.00594106518505918,0.002312658811614385,0.0014446657352635177,0.0,0.0,0.0015515270292340356,0.0015756199722064552,0.0,0.0040884906188742645,0.0008164065051270329,0.0,0.00074757039621231,0.001510518138548423,0.01237432327919567,0.0032212603180994566,0.0016906083078359175,0.001655263738689031
13,friend,0.0,0.0005751533742331289,0.0009047736550691134,0.0014588934055420634,0.004262169487909306,0.006452065269446818,0.003952089889500096,0.004039805763787787,0.0019916173716595822,0.0,0.0,0.0006124448799608035,0.0008318490536493707,0.0,0.001288154578549426,0.0,0.0,0.000872165462247695,0.0018634861525561666,0.01237432327919567,0.003238641219096396,0.002084737851993984,0.0012138600750386229
14,friend,0.0,0.0008627300613496933,0.001363654073429525,0.0003896154495512929,0.0028850862858999285,0.006359458222315123,0.005258342662341991,0.004525848427030302,0.003061740138521447,0.0,0.0,0.0005307855626326964,0.0008024896752852753,0.0,0.0006160739288714645,0.0,0.0,0.00049838026414154,0.0021794618856198675,0.01237432327919567,0.0038600084297369837,0.0011720168023647772,0.0025380710659898475
15,friend,0.0,0.0019171779141104294,0.001419931860586934,0.001203478833058438,0.00354938346433403,0.006932298956715466,0.004085416173397728,0.0033028294464991365,0.0031806426681727654,0.0,0.00035298270384751147,0.0014494528825739017,0.0004991094321896225,0.0,0.0020722486698403807,0.0005878126836914636,0.0,0.000622975330176925,0.0015444277294137955,0.01237432327919567,0.003173462840357873,0.0027692786392158894,0.0013242109909512249
16,friend,0.0,0.0018213190184049079,0.001372312194530665,0.0015195002532500423,0.004388240485276362,0.006483816257034828,0.005803141443096112,0.0036577536238436704,0.002354270087096103,0.0,0.0,0.0003674669279764821,0.0006459063240100996,0.0,0.0023522822738728647,0.0018287505714845536,0.0,0.00024919013207077,0.0013717970850082616,0.0,0.003997607229296088,0.0012135041228024683,0.0012138600750386229
17,friend,0.0,0.0008627300613496933,0.0020433165798690025,0.0010476326532379207,0.004388240485276362,0.006216578778169079,0.004858363810649092,0.002240317578015499,0.0015219523795368746,0.0,0.0007059654076950229,0.0012657194185856607,0.0027108492689514787,0.0,0.0014001680201624195,0.0,0.0,0.000124595066035385,0.002384460775851439,0.01237432327919567,0.004561038103280211,0.0018358139293678368,0.0013242109909512249
18,friend,0.0,0.00047929447852760736,0.001471880587193773,0.00109525231929419,0.0038306187661528465,0.007506462648931976,0.005530742052719051,0.0034090806333475,0.0009928361225885081,0.0,0.00035298270384751147,0.0017352604932222766,0.0010080053238339434,0.0,0.0032483898067768133,0.0014695317092286591,0.0,0.00049838026414154,0.002507768378998249,0.01237432327919567,0.002537611545553169,0.0013275942540061192,0.0019863164864268373
19,friend,0.0,0.0007668711656441718,0.0011125685614964697,0.001484867768845483,0.0021286603016975945,0.005996967780685345,0.007816253393498734,0.0018311374754718004,0.0007312505573556078,0.0,0.00035298270384751147,0.0009799118079372856,0.0008905678103775616,0.0,0.0018482217866143938,0.0007510939847168702,0.0,0.00149514079242462,0.00221028878640657,0.0,0.0014266822901654516,0.0008712337291915157,0.0013242109909512249
20,pair,0.0,0.0048888036809815955,0.0015368164954523218,0.00219050463858838,0.0011103945537329137,0.0031155656570734584,0.003029724865122074,0.0018763507464711043,0.0025801848934336076,0.0,0.00035298270384751147,0.0010003266372693124,0.000244661486367462,0.0,0.004984598151778213,0.0004898439030762197,0.0,0.00149514079242462,0.0016461565020099139,0.0,0.0017786455353534767,0.0008919773894103613,0.0006621054954756124
21,pair,0.0,0.0077645705521472395,0.0019524063083070343,0.0011645172881033087,0.0014304209316646705,0.0032094956620213207,0.0023676909036993445,0.0026065450731098594,0.0010939032727921287,0.0,0.0007059654076950229,0.001041156295933366,0.0012330938912920083,0.0,0.005488658639036684,0.000620468943896545,0.0,0.00174433092449539,0.0013856691903622778,0.0,0.0011370006068831264,0.0017424674583830313,0.0003310527477378062
